TDM_X         TDM_Y         TDM_Z         Oscillator Strength
-0.00547979   0.14686863    0.51254511    0.01950000    
-0.30761954   0.09549104    0.49791880    0.02210000    
0.21667792    -0.03185423   -0.23883946   0.00630000    
0.26567395    -0.04279025   0.16571122    0.00550000    
0.00967370    0.09010845    0.35467097    0.00770000    
-0.09574495   0.05247103    0.24611572    0.00470000    
0.10594618    -0.04912979   -0.30093377   0.00580000    
-0.32691670   -0.03301642   -0.32661133   0.01340000    
-0.07918088   -0.07569024   -0.43716878   0.01320000    
0.01396003    -0.01561661   -0.37112960   0.00910000    
0.21281220    -0.10831475   -0.31723805   0.00860000    
0.24347190    0.12400779    0.29904005    0.00930000    
0.37985865    0.22292086    0.70908942    0.04530000    
-0.06798034   0.03676655    0.28036798    0.00600000    
0.00564263    0.11283417    0.45366631    0.01460000    
-0.20733583   0.08800114    0.37573544    0.01320000    
0.18979421    0.01105392    -0.28060590   0.00700000    
0.26514700    0.10474434    0.48606199    0.02080000    
0.16097316    -0.26050838   -0.77048792   0.04050000    
-0.11520429   -0.07518646   -0.28814508   0.00640000    
0.28668790    -0.00970869   -0.05661076   0.00340000    
-0.12073314   -0.15007058   -0.34844124   0.00980000    
0.66401635    -0.08651935   -0.47427944   0.03820000    
0.22779298    0.14367031    0.54545791    0.02380000    
0.14376434    -0.11350956   -0.48305362   0.01740000    
-0.23451023   0.25979648    0.45104794    0.01990000    
-0.28872844   0.10768878    0.33981534    0.01420000    
-0.31952692   0.17254396    0.47079867    0.02430000    
0.05006475    0.13053141    0.72745931    0.04040000    
0.51945152    0.04797964    0.50322473    0.03290000    
-0.16548997   -0.19311506   -0.59765824   0.02810000    
0.12859777    0.09597929    0.46953216    0.01470000    
0.18631457    0.17957581    0.43569285    0.01490000    
-0.24631368   -0.08434687   0.23625456    0.00710000    
0.35141544    -0.15754809   -0.37197012   0.01920000    
0.63677683    -0.07581573   0.32675229    0.03550000    
0.46146865    -0.03739298   0.13603303    0.01490000    
0.44720104    0.22807121    0.58604319    0.03890000    
-0.45079552   0.02435927    0.02265653    0.01350000    
0.20095860    0.05582601    -0.27562247   0.00750000    
0.46257373    -0.09502535   -0.34486962   0.02080000    
-0.30747435   -0.08583028   -0.34515843   0.01210000    
0.51429879    -0.10444989   -0.04754869   0.01980000    
0.04154126    0.00450737    -0.62484813   0.02450000    
0.11715151    0.06035822    0.28898382    0.00600000    
0.31036709    0.00020983    -0.37344106   0.01320000    
0.35578338    -0.02428796   -0.09414406   0.00650000    
0.54347496    -0.04364563   0.09776976    0.02130000    
-0.32019508   -0.00128642   -0.51969564   0.02370000    
0.33176988    0.02399954    -0.46059561   0.02060000    
0.05705994    0.33082394    0.80044615    0.04700000    
-0.03081479   -0.00458212   0.15457569    0.00140000    
0.22937370    -0.09669822   -0.39264694   0.01460000    
-0.26983426   0.12915333    -0.22725417   0.00910000    
-0.06150505   0.11875796    0.36119264    0.01130000    
0.17170835    0.15183381    -0.55836976   0.02280000    
-0.47767422   -0.16327801   -0.91376962   0.06640000    
0.48560980    -0.15731054   -0.69745607   0.04890000    
0.24399075    0.07691283    0.39428657    0.01120000    
-0.61827177   0.15954036    0.11946042    0.02740000    
