mol,sn,Mult,eV,nm,f,orb,tdmx,tdmy,tdmz,dips,tvdmx,tvdmy,tvdmz,dipsv,tmdmx,tmdmy,tmdmz,rotxx,rotyy,rotzz,R,EMangle,rotlxx,rotlyy,rotlzz,Rl
hod0001,1,Singlet,2.8054,441.95,0.0195,H-L:0.87;H1-L:0.036,0.0021,0.5287,-0.0691,0.2843,-0.0007,-0.0539,0.0039,0.0029,-0.1862,-0.1470,-0.0984,25.6711,-2.9298,29.8533,17.5315,56.49,0.2826,54.9480,-4.8053,16.8084
hod0002,1,Singlet,2.5705,482.33,0.0221,H-L:0.835;H2-L:0.073,-0.2856,0.5197,-0.0040,0.3517,0.0257,-0.0499,-0.0015,0.0032,-0.2352,-0.3232,0.1414,51.2005,-14.2200,36.8457,24.6087,65.52,-47.4948,118.7948,0.4006,23.9002
hod0003,1,Singlet,2.4673,502.51,0.0063,H-L:0.933,0.2295,-0.2278,0.0211,0.1050,-0.0192,0.0201,0.0010,0.0008,0.1426,0.0052,-0.0868,-2.5552,-8.6628,-10.0154,-7.0778,125.91,-23.1398,0.8401,1.2943,-7.0018
hod0004,1,Singlet,2.2343,554.91,0.0055,H-L:0.933,0.2719,-0.1581,-0.0308,0.0998,-0.0218,0.0140,-0.0008,0.0007,0.0181,-0.0152,-0.2498,1.5776,-1.3896,-3.7057,-1.1726,93.61,-3.4782,-1.6951,-5.4314,-3.5349
hod0005,1,Singlet,2.3304,532.04,0.0077,H-L:0.888;H3-L:0.041,-0.0036,0.3637,-0.0414,0.1340,0.0005,-0.0306,0.0066,0.0010,0.0841,-0.0987,0.0023,12.5986,3.1590,9.6489,8.4689,40.71,0.2126,25.3904,0.0682,8.5571
hod0006,1,Singlet,2.6347,470.57,0.0047,H-L:0.869;H1-L:0.071,-0.1004,0.2490,-0.0203,0.0725,0.0093,-0.0238,-0.0007,0.0007,-0.0890,-0.0646,0.0906,2.3792,-1.5376,3.8946,1.5787,79.74,-6.3217,11.3772,1.2980,2.1178
hod0007,1,Singlet,2.2677,546.75,0.0058,H-L:0.938;H-L1:0.03,0.0849,-0.3101,-0.0288,0.1042,-0.0059,0.0260,0.0048,0.0007,0.0323,0.2759,-0.1120,23.9603,-4.8365,35.5354,18.2197,37.50,-1.9385,60.5044,-2.2777,18.7627
hod0008,1,Singlet,2.542,487.74,0.0134,H-L:0.906;H-L1:0.027,-0.3186,-0.3356,0.0225,0.2147,0.0298,0.0308,0.0015,0.0018,0.1920,-0.0194,-0.0007,-2.6596,23.2208,18.2514,12.9375,51.74,43.2563,-4.6109,0.0108,12.8854
hod0009,1,Singlet,2.6576,466.53,0.0132,H-L:0.876;H-L1:0.037,-0.0786,-0.4436,-0.0125,0.2032,0.0072,0.0433,-0.0019,0.0019,-0.1482,0.2451,0.0828,33.6489,-1.6884,35.9358,22.6321,44.29,-8.2402,76.9025,0.7347,23.1323
hod0010,1,Singlet,2.7003,459.15,0.0091,H-L:0.812;H1-L:0.074,0.0113,-0.3715,0.0060,0.1381,-0.0002,0.0351,0.0023,0.0012,0.1194,0.1518,0.1668,17.6511,1.8021,20.9990,13.4840,50.73,-0.9545,39.8813,-0.7061,12.7402
hod0011,1,Singlet,2.2211,558.2,0.0086,H-L:0.959,0.2165,0.3169,-0.1018,0.1576,-0.0169,-0.0261,0.0053,0.0010,-0.1084,-0.0300,-0.2500,1.5897,-0.1054,9.7833,3.7559,81.36,16.5938,6.7204,-17.9919,1.7741
hod0012,1,Singlet,2.3194,534.55,0.0093,H-L:0.867;H3-L:0.052,0.2414,0.3182,-0.0675,0.1640,-0.0208,-0.0260,0.0084,0.0012,-0.2071,-0.0099,-0.0044,1.3823,19.7594,16.4537,12.5318,50.46,35.3515,2.2384,-0.2123,12.4592
hod0013,1,Singlet,2.6516,467.59,0.0453,H-L:0.887;H-L1:0.027,0.4127,0.7101,-0.1491,0.6968,-0.0391,-0.0689,0.0123,0.0064,-0.2228,0.0347,-0.4045,5.0773,1.6489,3.0546,3.2603,87.92,65.0144,-17.4467,-42.6434,1.6415
hod0014,1,Singlet,2.8932,428.54,0.006,H-L:0.921,-0.0539,0.2847,0.0249,0.0846,0.0051,-0.0298,-0.0050,0.0009,-0.0389,-0.1698,0.0253,14.0992,-0.3609,17.7725,10.5036,28.68,-1.4848,34.1833,-0.4445,10.7514
hod0015,1,Singlet,2.7187,456.03,0.0146,H-L:0.913;H-L1:0.036,0.0207,0.4649,-0.0449,0.2186,-0.0022,-0.0457,0.0015,0.0021,-0.1467,-0.0243,-0.2548,7.2381,-1.1305,1.3573,2.4883,85.52,2.1447,7.9876,-8.0911,0.6804
hod0016,1,Singlet,2.8041,442.16,0.0132,H-L:0.692;H1-L:0.196,-0.2097,0.3773,-0.0747,0.1919,0.0234,-0.0379,0.0043,0.0020,0.3398,0.0315,0.0940,-2.0621,19.7443,31.5283,16.4035,63.10,50.3897,-8.4173,4.9621,15.6448
hod0017,1,Singlet,2.4889,498.14,0.007,H-L:0.935,0.1808,-0.2841,-0.0385,0.1149,-0.0154,0.0252,-0.0001,0.0009,0.1035,0.1202,-0.0703,7.2894,-5.1899,9.0143,3.7046,73.72,-13.2348,24.1465,-1.9128,2.9996
hod0018,1,Singlet,2.6762,463.29,0.0208,H-L:0.825;H1-L:0.047,0.2788,0.4887,0.0312,0.3176,-0.0256,-0.0475,-0.0058,0.0029,-0.0359,-0.2063,-0.1043,39.3539,5.2926,36.7447,27.1304,26.94,7.0761,71.3152,2.3012,26.8975
hod0019,1,Singlet,2.4073,515.03,0.0405,H2-L:0.468;H1-L:0.377,0.1339,-0.8044,0.1498,0.6874,-0.0115,0.0716,-0.0099,0.0054,-0.1953,-0.0246,0.3713,-3.9918,-5.7565,-15.6623,-8.4702,95.93,18.4977,-13.9802,-39.3195,-11.6007
hod0020,1,Singlet,2.5659,483.2,0.0064,H-L:0.887;H-L1:0.043,-0.1171,-0.2930,0.0489,0.1019,0.0115,0.0275,-0.0006,0.0009,-0.0722,0.1856,0.0556,16.3263,-3.2205,18.7001,10.6020,46.59,-5.9797,38.4598,-1.9257,10.1848
hod0021,1,Singlet,1.6028,773.55,0.0034,H1-L:0.932;H3-L:0.024,0.2843,0.0677,-0.0089,0.0855,-0.0156,-0.0059,-0.0024,0.0003,0.0303,0.0436,-0.1546,0.6594,-1.3904,-3.6020,-1.4443,97.55,-6.0877,-2.0897,-0.9760,-3.0511
hod0022,1,Singlet,2.5326,489.56,0.0098,H-L:0.831;H-L1:0.06,-0.1112,-0.3807,0.0348,0.1585,0.0101,0.0352,-0.0055,0.0014,-0.1924,0.4023,0.2884,37.7993,-9.2263,52.4124,26.9951,57.22,-15.1281,108.3075,-7.0979,28.6938
hod0023,1,Singlet,2.3161,535.32,0.0382,H-L:0.927,0.6733,-0.4690,0.0071,0.6734,-0.0577,0.0383,-0.0036,0.0048,0.0341,0.0074,-0.4996,20.0491,1.8926,-21.0177,0.3080,89.82,-16.2324,2.4662,2.4977,-3.7562
